App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
STARZ,ENTERTAINMENT,4.3,88185,Varies with device,"10,000,000+",Free,0,Mature 17+,Entertainment,"June 20, 2018",Varies with device,Varies with device
Bad Piggies,FAMILY,4.3,1168959,66M,"50,000,000+",Free,0,Everyone,Puzzle,"May 3, 2017",2.3.3,4.1 and up
Dots puzzle,FAMILY,4.0,179,14M,"50,000+",Paid,$0.99,Everyone,Puzzle,"April 18, 2018",,4.0 and up
Google Voice,COMMUNICATION,4.2,171031,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device
San Andreas Crime Stories,GAME,4.0,162530,97M,"10,000,000+",Free,0,Mature 17+,Racing,"July 2, 2018",1.0.0.0,4.1 and up
Talking Tom Gold Run,GAME,4.6,2698348,78M,"100,000,000+",Free,0,Everyone,Action,"July 31, 2018",2.8.2.59,4.1 and up
RISK: Global Domination,FAMILY,4.0,68559,75M,"5,000,000+",Free,0,Everyone,Board;Action & Adventure,"July 31, 2018",1.19.56.434,4.4 and up
"Blendr - Chat, Flirt & Meet",DATING,4.0,28671,Varies with device,"1,000,000+",Free,0,Mature 17+,Dating,"August 1, 2018",Varies with device,Varies with device
Lake Michigan CU Mobile,FINANCE,4.0,732,5.5M,"50,000+",Free,0,Everyone,Finance,"April 2, 2018",3.0.21,4.0 and up
USAA Mobile,FINANCE,4.5,100997,33M,"5,000,000+",Free,0,Everyone,Finance,"July 27, 2018",8.44.2,5.0 and up
ActionDirector Video Editor - Edit Videos Fast,VIDEO_PLAYERS,4.5,74531,32M,"5,000,000+",Free,0,Everyone,Video Players & Editors,"June 15, 2018",2.12.0,4.3 and up
Phone,TOOLS,3.6,45483,Varies with device,"10,000,000+",Free,0,Everyone,Tools,"July 30, 2018",Varies with device,Varies with device
Power Plug EV charger,MAPS_AND_NAVIGATION,3.7,13,3.9M,"1,000+",Free,0,Everyone,Maps & Navigation,"December 22, 2014",1.1,2.3.3 and up
converter video to mp3,LIBRARIES_AND_DEMO,4.4,783,6.4M,"100,000+",Free,0,Everyone,Libraries & Demo,"June 10, 2017",1.6,2.2 and up
Google Classroom,EDUCATION,4.2,69498,Varies with device,"10,000,000+",Free,0,Everyone,Education,"July 19, 2018",Varies with device,Varies with device
CE Intelligence,BUSINESS,,0,10M,5+,Free,0,Everyone,Business,"November 15, 2016",1.1,4.0 and up
Restart Navigator,AUTO_AND_VEHICLES,4.0,1403,201k,"100,000+",Free,0,Everyone,Auto & Vehicles,"August 26, 2014",1.0.1,2.2 and up
MX Player,VIDEO_PLAYERS,4.5,6469179,Varies with device,"500,000,000+",Free,0,Everyone,Video Players & Editors,"August 1, 2018",Varies with device,Varies with device
I am Rich,FINANCE,4.3,180,3.8M,"5,000+",Paid,$399.99,Everyone,Finance,"March 22, 2018",1.0,4.2 and up
Manage My Pain Pro,MEDICAL,4.4,726,Varies with device,"5,000+",Paid,$3.99,Everyone,Medical,"March 5, 2018",Varies with device,Varies with device
tv-ec,FAMILY,,1,3.4M,50+,Free,0,Everyone,Entertainment,"April 7, 2018",8.1,4.0.3 and up
Ek IRA,COMMUNICATION,,0,5.7M,10+,Free,0,Everyone,Communication,"July 27, 2018",0.3.1,4.1 and up
AP Planner,FAMILY,2.9,45,1.3M,"5,000+",Free,0,Everyone,Education,"August 3, 2015",1.1,2.1 and up
Simple Blood Pressure log,MEDICAL,3.9,31,10M,"1,000+",Free,0,Everyone,Medical,"January 15, 2016",1.0.1,4.4 and up
NBC Sports,SPORTS,3.1,78442,25M,"5,000,000+",Free,0,Everyone,Sports,"June 22, 2018",5.12.4,4.1 and up
DP and Status Images | All Latest Status 2018,LIFESTYLE,4.7,25,3.8M,"10,000+",Free,0,Teen,Lifestyle,"July 22, 2017",1.0,4.0 and up
BH Bikes Premium,SPORTS,3.0,26,15M,"1,000+",Free,0,Everyone,Sports,"May 9, 2017",2.1.1,5.0 and up
.R,TOOLS,4.5,259,203k,"10,000+",Free,0,Everyone,Tools,"September 16, 2014",1.1.06,1.5 and up
Puffin Web Browser,COMMUNICATION,4.3,541389,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"July 9, 2018",7.5.3.20547,4.1 and up
RD/FD Calculator,FINANCE,4.4,92,1.5M,"10,000+",Free,0,Everyone,Finance,"January 31, 2017",1.2.1,4.0.3 and up
ElejaOnline DF,BUSINESS,,0,3.0M,50+,Free,0,Everyone,Business,"June 18, 2018",1.0.0,4.1 and up
AQ: First Contact,FAMILY,,0,Varies with device,"50,000+",Free,0,Everyone,Strategy,"July 26, 2018",Varies with device,Varies with device
"Evernote – Organizer, Planner for Notes & Memos",PRODUCTIVITY,4.6,1488397,Varies with device,"100,000,000+",Free,0,Everyone,Productivity,"August 3, 2018",Varies with device,Varies with device
AJ Styles HD Wallpapers,ART_AND_DESIGN,4.8,48,25M,"5,000+",Free,0,Everyone,Art & Design,"August 4, 2018",1.1.1,4.1 and up
Z PIVOT,COMMUNICATION,,0,5.7M,10+,Paid,$19.99,Everyone,Communication,"July 11, 2018",1.3,4.2 and up
DB Transport,MAPS_AND_NAVIGATION,1.9,179,10M,"10,000+",Free,0,Everyone,Maps & Navigation,"March 13, 2018",3.05,4.1 and up
Best CG views,FAMILY,4.2,4,2.5M,100+,Free,0,Teen,Entertainment,"June 24, 2015",5.1,3.0 and up
SK Bosnia Online EU Teplice,SPORTS,,2,10M,5+,Free,0,Everyone,Sports,"August 21, 2017",1.2,4.0 and up
OB-GYN USMLE Stp2 CK 300 Q & A,MEDICAL,4.4,34,4.9M,"10,000+",Free,0,Everyone,Medical,"May 16, 2015",1.2,2.0 and up
The Hunt for the Lost Treasure,FAMILY,4.6,7148,8.1M,"100,000+",Paid,$2.99,Everyone,Adventure;Brain Games,"September 13, 2017",1.8,4.0.3 and up
Strawberry Shortcake BerryRush,FAMILY,4.3,525552,48M,"10,000,000+",Free,0,Everyone,Action;Action & Adventure,"October 15, 2017",1.2.3,2.3 and up
Score! Hero,GAME,4.6,5419676,96M,"100,000,000+",Free,0,Everyone,Sports,"June 13, 2018",1.751,4.4 and up
Go Go Coupons - Free Coupon and Discount,SHOPPING,3.0,4,1.2M,"1,000+",Free,0,Everyone,Shopping,"July 1, 2018",10.0,4.0 and up
I Am Innocent,GAME,4.4,208501,56M,"1,000,000+",Free,0,Teen,Adventure,"July 23, 2018",2.8.307,4.0.3 and up
Аim Training for CS,GAME,3.6,2328,12M,"100,000+",Free,0,Everyone,Action,"October 25, 2014",1.8,2.3 and up
Eurosport,SPORTS,4.0,121003,Varies with device,"10,000,000+",Free,0,Everyone,Sports,"August 6, 2018",Varies with device,Varies with device
DH Mariage,LIFESTYLE,,0,4.9M,50+,Free,0,Everyone,Lifestyle,"September 12, 2017",1.0,4.3 and up
"Calendars (En, Bn, Ar)",PRODUCTIVITY,4.6,27,2.5M,"1,000+",Free,0,Everyone,Productivity,"June 5, 2017",1.2.3,4.0 and up
SHADOWGUN LEGENDS,GAME,4.6,100609,52M,"1,000,000+",Free,0,Teen,Action,"July 16, 2018",0.5.4,6.0 and up
Cover Fire: offline shooting games for free,GAME,4.7,725897,31M,"10,000,000+",Free,0,Teen,Action,"August 3, 2018",1.8.20,4.1 and up
EZ-ELD Driver App (Free),AUTO_AND_VEHICLES,2.1,83,4.8M,"5,000+",Free,0,Everyone,Auto & Vehicles,"July 29, 2018",1.0.12,4.3 and up
DreamMapper,MEDICAL,4.2,10710,8.5M,"100,000+",Free,0,Everyone,Medical,"July 3, 2018",2.15,5.0 and up
Thomas & Friends: Race On!,FAMILY,4.1,29319,26M,"5,000,000+",Free,0,Everyone,Casual;Action & Adventure,"May 18, 2018",2.4,4.4 and up
Angry Birds Rio,GAME,4.4,2610622,46M,"100,000,000+",Free,0,Everyone,Arcade,"July 3, 2018",2.6.9,4.1 and up
Endurance Lifestyle,EVENTS,4.6,7,3.8M,500+,Free,0,Teen,Events,"July 10, 2017",2.1,4.2 and up
Wallpapers Bus Scania Irizar K,PERSONALIZATION,,35,15M,"10,000+",Free,0,Teen,Personalization,"April 21, 2016",1.0,2.3.3 and up
Coupons for Dairy Queen,FOOD_AND_DRINK,4.6,42,3.9M,100+,Free,0,Teen,Food & Drink,"July 18, 2018",1.0,5.0 and up
Youper - AI Therapy,MEDICAL,4.6,2006,69M,"50,000+",Free,0,Everyone,Medical,"August 3, 2018",6.02.000,6.0 and up
Music Collector Inventory Organizer UPC Discogs,LIFESTYLE,3.5,155,12M,"10,000+",Free,0,Everyone,Lifestyle,"October 13, 2017",3.1,4.1 and up
DMC ER Now,MEDICAL,4.3,6,5.3M,"1,000+",Free,0,Everyone,Medical,"March 16, 2017",1.4,2.3 and up
Socratic - Math Answers & Homework Help,EDUCATION,4.6,37862,5.4M,"1,000,000+",Free,0,Everyone,Education,"June 7, 2018",1.8.1,4.1 and up
Webull - Stock Quotes & Free Stock Trading,FINANCE,4.3,34861,Varies with device,"1,000,000+",Free,0,Everyone,Finance,"August 3, 2018",Varies with device,Varies with device
ClanHQ,COMMUNICATION,2.7,560,37M,"10,000+",Free,0,Everyone,Communication,"July 25, 2018",1.0.21,4.4 and up
Google I/O 2018,BOOKS_AND_REFERENCE,4.3,22401,4.6M,"500,000+",Free,0,Everyone,Books & Reference,"May 7, 2018",6.1.2,5.0 and up
OptoDrum,MEDICAL,3.9,10,378k,"1,000+",Paid,$5.99,Everyone,Medical,"May 26, 2015",1.0,3.0 and up
EyeEm - Camera & Photo Filter,PHOTOGRAPHY,4.2,215343,44M,"10,000,000+",Free,0,Everyone,Photography,"July 14, 2018",6.4.3,4.0.3 and up
AE Video Poker,GAME,4.0,721,18M,"50,000+",Free,0,Teen,Casino,"December 31, 2015",1.3.2,2.3 and up
ER Surgery Simulator,FAMILY,3.6,19601,56M,"1,000,000+",Free,0,Everyone 10+,Casual,"June 6, 2018",1.0.4,4.1 and up
Xbox,FAMILY,4.3,556659,46M,"10,000,000+",Free,0,Everyone,Entertainment,"June 20, 2018",1805.0618.1637,4.1 and up
AE Master Moto,GAME,4.0,17876,37M,"1,000,000+",Free,0,Everyone,Racing,"December 10, 2015",1.8.6,2.3 and up
Power Pop Bubbles,GAME,4.4,104303,Varies with device,"10,000,000+",Free,0,Everyone,Arcade,"August 2, 2018",3.15,4.1 and up
Kiamichi EC,TOOLS,4.6,7,3.9M,"1,000+",Free,0,Everyone,Tools,"February 23, 2018",1.283.0037,2.3.3 and up
BV Productions,BUSINESS,,0,2.8M,1+,Free,0,Everyone,Business,"October 25, 2016",1.0.1,4.0 and up
Learn 50 languages,EDUCATION,4.4,55256,14M,"5,000,000+",Free,0,Everyone,Education,"June 19, 2018",10.9.1,4.0 and up
Sabka Malik Ek Sai,SOCIAL,4.2,17,5.1M,"1,000+",Free,0,Teen,Social,"May 25, 2013",1.3,2.2 and up
Block Puzzle Classic Legend !,GAME,4.2,17039,4.9M,"5,000,000+",Free,0,Everyone,Puzzle,"April 13, 2018",2.9,2.3.3 and up
Galactic Core Free Wallpaper,PERSONALIZATION,4.1,69417,853k,"10,000,000+",Free,0,Everyone,Personalization,"May 1, 2014",2.41,2.1 and up
T-Mobile DIGITS,COMMUNICATION,3.0,1820,33M,"100,000+",Free,0,Everyone,Communication,"February 15, 2018",1.1.50,4.4 and up
BT Speed,SPORTS,,3,948k,10+,Paid,$4.80,Everyone,Sports,"May 21, 2015",1.0.1,4.0.3 and up
The Weather Network,WEATHER,3.9,135337,Varies with device,"5,000,000+",Free,0,Everyone,Weather,"August 6, 2018",Varies with device,Varies with device
DIRECTV,FAMILY,4.1,235486,63M,"10,000,000+",Free,0,Teen,Entertainment,"June 1, 2018",5.9.006,4.1 and up
Blood Pressure Companion,MEDICAL,4.2,178,4.8M,"1,000+",Paid,$0.99,Everyone,Medical,"July 22, 2018",4.1.5 (Steglitz),4.1 and up
Hotspot Shield Free VPN Proxy & Wi-Fi Security,TOOLS,4.2,1116393,8.2M,"50,000,000+",Free,0,Everyone,Tools,"August 6, 2018",6.1.0,4.1 and up
QuickPic - Photo Gallery with Google Drive Support,PHOTOGRAPHY,4.6,847159,4.2M,"10,000,000+",Free,0,Everyone,Photography,"November 10, 2017",4.7.4,4.0 and up
Barbie™ Fashion Closet,FAMILY,4.1,68286,85M,"10,000,000+",Free,0,Everyone,Casual;Creativity,"July 30, 2018",1.3.7,4.1 and up
Evil Apples: A Dirty Card Game,GAME,4.3,137696,55M,"5,000,000+",Free,0,Mature 17+,Word,"July 19, 2018",2.3.3,4.2 and up
"Jaumo Dating, Flirt & Live Video",SOCIAL,4.4,900064,13M,"10,000,000+",Free,0,Mature 17+,Social,"July 31, 2018",4.17.2,4.1 and up
osmino Wi-Fi: free WiFi,TOOLS,4.2,134203,4.1M,"10,000,000+",Free,0,Everyone,Tools,"August 6, 2018",6.06.14,4.4 and up
Abs Workout - 30 Days Fitness App for Six Pack Abs,HEALTH_AND_FITNESS,4.6,299,11M,"100,000+",Free,0,Everyone,Health & Fitness,"August 3, 2018",1.3.8,4.4 and up
U-Dictionary: Best English Learning Dictionary,FAMILY,4.5,166886,21M,"10,000,000+",Free,0,Everyone 10+,Education,"July 29, 2018",3.6.2,4.0.3 and up
Hitwe - meet people and chat,DATING,4.2,243950,21M,"10,000,000+",Free,0,Mature 17+,Dating,"May 10, 2018",4.3.2,4.1 and up
Myanmar 2D/3D,BUSINESS,4.6,822,3.1M,"100,000+",Free,0,Everyone,Business,"June 8, 2018",1.5,4.0.3 and up
BM Tahmin: Ücretsiz İddaa Tahminleri,SPORTS,,7,1.9M,500+,Free,0,Everyone,Sports,"December 11, 2017",1.3,4.0.3 and up
Texas Bar-B-Q Rewards,FOOD_AND_DRINK,,0,14M,5+,Free,0,Everyone,Food & Drink,"March 28, 2018",2.0.24,4.1 and up
Virtual Mother Surgery Doctor : Emergency Hospital,FAMILY,3.9,70,61M,"10,000+",Free,0,Teen,Educational,"May 30, 2018",1.1,4.0 and up
Tubi TV - Free Movies & TV,ENTERTAINMENT,4.3,296771,11M,"10,000,000+",Free,0,Teen,Entertainment,"July 15, 2018",2.13.5,4.1 and up
CG Daily News,NEWS_AND_MAGAZINES,4.3,65,3.5M,"10,000+",Free,0,Everyone,News & Magazines,"April 29, 2018",8.2,4.0.3 and up
wetter.com - Weather and Radar,WEATHER,4.2,189313,38M,"10,000,000+",Free,0,Everyone,Weather,"August 6, 2018",Varies with device,Varies with device
Order & Chaos 2: 3D MMO RPG,FAMILY,4.1,242722,54M,"10,000,000+",Free,0,Teen,Role Playing,"July 9, 2018",3.1.2b,4.0.3 and up
EasyBib: Citation Generator,EDUCATION,3.5,1405,7.3M,"100,000+",Free,0,Everyone,Education,"March 29, 2018",2.4.4,4.0 and up
Dual N-Back - Brain game,FAMILY,4.3,817,28M,"100,000+",Free,0,Everyone,Educational,"May 25, 2018",2.4.2,4.1 and up
Morse Code Reader,COMMUNICATION,3.9,1436,20k,"100,000+",Free,0,Everyone,Communication,"August 26, 2013",1.0,1.6 and up
Hollywood U: Rising Stars,FAMILY,4.2,233588,74M,"5,000,000+",Free,0,Teen,Simulation,"April 21, 2017",3.8.0,4.0.3 and up
DG OFF - 100% Free Coupons & Deals,SHOPPING,5.0,1,1.1M,10+,Free,0,Everyone,Shopping,"July 11, 2018",1.0,4.0 and up
Hamilton — The Official App,ENTERTAINMENT,4.5,1575,43M,"100,000+",Free,0,Everyone,Entertainment,"July 13, 2018",2.3.2,5.0 and up
Galaxy Defense,FAMILY,4.1,78142,17M,"5,000,000+",Free,0,Everyone,Strategy,"August 22, 2015",1.2.3,3.0 and up
Ayyush wih wih new without Net,LIBRARIES_AND_DEMO,3.8,912,13M,"500,000+",Free,0,Everyone,Libraries & Demo,"January 9, 2018",2.0.0,2.3 and up
"JotterPad - Writer, Screenplay, Novel",PRODUCTIVITY,4.6,57904,11M,"1,000,000+",Free,0,Everyone,Productivity,"July 1, 2018",12.8.2-pi,4.2 and up
Be you GO Launcher Theme,PERSONALIZATION,4.3,1580,3.6M,"100,000+",Free,0,Everyone,Personalization,"November 12, 2014",v1.0,2.3 and up
"energyly (TNEB,BESCOM,MH,DL..)",TOOLS,3.9,627,4.1M,"10,000+",Free,0,Everyone,Tools,"February 21, 2017",6.0,4.0 and up
US 115th CD,TRAVEL_AND_LOCAL,,0,5.7M,5+,Free,0,Everyone,Travel & Local,"November 3, 2017",106,4.0.3 and up
DraftKings - Daily Fantasy Sports,SPORTS,4.5,50017,41M,"1,000,000+",Free,0,Adults only 18+,Sports,"July 24, 2018",3.21.324,4.4 and up
Vimeo,FAMILY,3.9,85578,Varies with device,"10,000,000+",Free,0,Teen,Entertainment,"August 1, 2018",Varies with device,Varies with device
What's Up,LIFESTYLE,4.1,23453,10M,"1,000,000+",Free,0,Everyone,Lifestyle,"October 26, 2017",2.0,4.0 and up
Offline Jízdní řády CG Transit,MAPS_AND_NAVIGATION,4.6,7314,7.0M,"100,000+",Free,0,Everyone,Maps & Navigation,"September 7, 2017",3.1.4,4.0 and up
Blood Pressure,MEDICAL,,10,2.4M,"1,000+",Free,0,Everyone,Medical,"March 14, 2015",1.0,2.3 and up
Ek-yatri: Travel where you Belong,TRAVEL_AND_LOCAL,,0,29M,1+,Free,0,Everyone,Travel & Local,"August 1, 2018",1.0.0,4.4 and up
The Sims™ FreePlay,FAMILY,4.3,931503,31M,"10,000,000+",Free,0,Teen,Simulation,"July 16, 2018",5.39.1,4.0.3 and up
Be My Love Animated Keyboard,PERSONALIZATION,4.6,838,11M,"50,000+",Free,0,Teen,Personalization,"March 30, 2018",1.70,4.1 and up
E*TRADE Mobile,FINANCE,3.9,10657,58M,"1,000,000+",Free,0,Everyone,Finance,"August 2, 2018",6.8.2,4.4 and up
"Sleep as Android: Sleep cycle tracker, smart alarm",LIFESTYLE,4.3,246201,Varies with device,"10,000,000+",Free,0,Everyone,Lifestyle,"July 23, 2018",Varies with device,Varies with device
Thomas & Friends: Delivery,FAMILY,4.2,28737,17M,"1,000,000+",Free,0,Everyone,Casual;Action & Adventure,"February 5, 2016",1.0,2.3 and up
Fix Error Google Playstore,BOOKS_AND_REFERENCE,4.3,18,5.7M,"1,000+",Free,0,Everyone,Books & Reference,"July 22, 2017",1.0,4.0 and up
Text SMS,COMMUNICATION,4.5,349384,8.2M,"10,000,000+",Free,0,Everyone,Communication,"July 24, 2018",3.47,4.0.3 and up
USA TODAY,NEWS_AND_MAGAZINES,4.1,49259,Varies with device,"5,000,000+",Free,0,Everyone 10+,News & Magazines,"August 2, 2018",Varies with device,Varies with device
Device Info Ex Live Wallpaper,PERSONALIZATION,4.1,2645,1.1M,"50,000+",Paid,$0.99,Everyone,Personalization,"December 20, 2015",11.0.0,2.1 and up
I LOVE PASTA,FAMILY,4.0,83875,43M,"1,000,000+",Free,0,Everyone,Simulation,"September 8, 2017",1.6.1,2.3.3 and up
Faster for Facebook Lite,SOCIAL,4.3,24456,4.6M,"1,000,000+",Free,0,Teen,Social,"May 29, 2018",4.7,4.1 and up
My Claro Peru,PRODUCTIVITY,3.2,11200,11M,"5,000,000+",Free,0,Everyone,Productivity,"July 23, 2018",3.1.1,4.4 and up
Le Fe de Jesus,BOOKS_AND_REFERENCE,,3,4.1M,500+,Free,0,Everyone,Books & Reference,"December 17, 2015",1.0,2.3.3 and up
"High-Speed Camera (GIF,Burst)",PHOTOGRAPHY,4.1,78140,10M,"5,000,000+",Free,0,Everyone,Photography,"February 11, 2018",5.5.2,4.0.3 and up
"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3.9,3971,3.6M,"100,000+",Free,0,Everyone,Auto & Vehicles,"July 30, 2018",2.493,4.4 and up
Chess of Blades (Demo),FAMILY,4.2,45,23M,"1,000+",Free,0,Teen,Casual,"January 25, 2018",1.5,2.3.3 and up
"Dating App, Flirt & Chat : W-Match",SOCIAL,4.3,175523,Varies with device,"10,000,000+",Free,0,Mature 17+,Social,"July 23, 2018",Varies with device,Varies with device
Dance School Stories - Dance Dreams Come True,FAMILY,4.4,91171,36M,"1,000,000+",Free,0,Everyone,Role Playing,"August 3, 2018",1.0.8,4.1 and up
Android P Rotation,TOOLS,4.5,502,2.0M,"10,000+",Free,0,Everyone,Tools,"July 15, 2018",1.5,5.0 and up
Relax Meditation: Sleep with Sleep Sounds,HEALTH_AND_FITNESS,4.4,26540,43M,"1,000,000+",Free,0,Everyone,Health & Fitness,"February 9, 2017",2.5.1,4.0.3 and up
Pic Stitch - #1 Collage Maker,PHOTOGRAPHY,4.2,15426,50M,"1,000,000+",Free,0,Everyone,Photography,"July 24, 2018",3.8.3,5.1 and up
Photo Editor Selfie Camera Filter & Mirror Image,PHOTOGRAPHY,4.3,527247,Varies with device,"50,000,000+",Free,0,Everyone,Photography,"February 1, 2018",1.6.1,Varies with device
Arrayanes EC,LIFESTYLE,,2,7.9M,100+,Free,0,Everyone,Lifestyle,"June 27, 2018",3.5,4.4 and up
CO CASE Events,FAMILY,,0,54M,100+,Free,0,Everyone,Education,"January 30, 2018",1.3,4.1 and up
Blackpink as if it's your last,LIBRARIES_AND_DEMO,4.7,831,24M,"100,000+",Free,0,Everyone,Libraries & Demo,"February 20, 2018",8.0,2.3 and up
Fever,EVENTS,4.0,20611,12M,"1,000,000+",Free,0,Teen,Events,"July 18, 2018",4.3.6,4.1 and up
Google+,SOCIAL,4.2,4831125,Varies with device,"1,000,000,000+",Free,0,Teen,Social,"July 26, 2018",Varies with device,Varies with device
Big Days - Events Countdown,LIFESTYLE,4.6,39724,Varies with device,"1,000,000+",Free,0,Everyone,Lifestyle,"June 29, 2018",Varies with device,Varies with device
News: DW Español,NEWS_AND_MAGAZINES,4.3,25,6.3M,"1,000+",Free,0,Everyone,News & Magazines,"April 26, 2018",1.0,4.1 and up
Familial Hypercholesterolaemia,MEDICAL,,0,34M,10+,Free,0,Everyone,Medical,"July 5, 2018",2.0.1,4.1 and up
BW Switch,GAME,,1,13M,10+,Free,0,Everyone,Arcade,"April 16, 2018",1.25,4.1 and up
Iraq love chat,DATING,,14,5.0M,50+,Free,0,Teen,Dating,"August 3, 2018",8.2,4.0.3 and up
Talking Ginger 2,ENTERTAINMENT,4.2,702975,49M,"50,000,000+",Free,0,Everyone,Entertainment,"July 5, 2018",2.6.6.11,4.1 and up
Trine 2: Complete Story,GAME,3.8,252,11M,"10,000+",Paid,$16.99,Teen,Action,"February 27, 2015",2.22,5.0 and up
GoodRx Drug Prices and Coupons,MEDICAL,4.8,59158,11M,"1,000,000+",Free,0,Everyone,Medical,"July 26, 2018",5.4.8,4.1 and up
Fertilizer Removal By Crop,BOOKS_AND_REFERENCE,4.1,295,6.9M,"50,000+",Free,0,Everyone,Books & Reference,"June 20, 2017",2.0.3,4.0.3 and up
Chictopia,LIFESTYLE,4.1,360,4.6M,"10,000+",Free,0,Everyone,Lifestyle,"April 30, 2014",1.6.2,2.2 and up
Clover Dating App,DATING,4.1,11633,23M,"500,000+",Free,0,Mature 17+,Dating,"July 24, 2018",2.5.1,4.1 and up
Mapy.cz - Cycling & Hiking offline maps,MAPS_AND_NAVIGATION,4.5,56409,43M,"1,000,000+",Free,0,Everyone,Maps & Navigation,"June 26, 2018",6.2.0,4.1 and up
EF English Live Business Tablet,FAMILY,3.3,279,14M,"10,000+",Free,0,Everyone,Education,"December 25, 2017",1.6.6,4.4 and up
Goibibo - Flight Hotel Bus Car IRCTC Booking App,TRAVEL_AND_LOCAL,4.3,459851,Varies with device,"10,000,000+",Free,0,Everyone,Travel & Local,"August 1, 2018",3.9.7,4.3 and up
Ivanti AE Agent,BUSINESS,,1,2.9M,"1,000+",Free,0,Everyone,Business,"May 10, 2018",11.0.0,4.0.3 and up
SEEK Job Search,BUSINESS,4.3,14955,Varies with device,"1,000,000+",Free,0,Everyone,Business,"July 30, 2018",Varies with device,Varies with device
Best Wallpapers QHD,PERSONALIZATION,4.4,294701,5.1M,"10,000,000+",Free,0,Teen,Personalization,"March 17, 2018",2.85,4.0.3 and up
Equestria Girl Snapchat Addict,FAMILY,,20,31M,"1,000+",Free,0,Everyone,Educational,"April 19, 2018",1.0.0,4.0 and up
Dairy Queen,FOOD_AND_DRINK,3.6,742,43M,"100,000+",Free,0,Everyone,Food & Drink,"July 25, 2018",2.1.0,4.1 and up
V-CUBE Seminar Mobile,BUSINESS,4.3,542,30M,"100,000+",Free,0,Everyone,Business,"April 17, 2018",1.23.0,4.0 and up
ABC News - US & World News,NEWS_AND_MAGAZINES,4.0,18976,35M,"1,000,000+",Free,0,Everyone 10+,News & Magazines,"June 6, 2018",3.19.11,5.0 and up
"Calm - Meditate, Sleep, Relax",HEALTH_AND_FITNESS,4.6,111455,Varies with device,"5,000,000+",Free,0,Everyone,Health & Fitness,"August 5, 2018",Varies with device,Varies with device
AAFP,MEDICAL,3.8,63,24M,"10,000+",Free,0,Everyone,Medical,"June 22, 2018",2.3.1,5.0 and up
BR Classified,BUSINESS,,0,28M,50+,Free,0,Everyone,Business,"August 30, 2017",1.0,4.2 and up
Ay Peruk,BUSINESS,,0,3.4M,1+,Free,0,Everyone,Business,"October 31, 2017",1.1.0,4.0 and up
Free Dating Hook Up Messenger,DATING,3.3,1157,21M,"100,000+",Free,0,Mature 17+,Dating,"January 27, 2017",5.0.1,4.2 and up
Comboios de Portugal,MAPS_AND_NAVIGATION,3.4,1147,19M,"100,000+",Free,0,Everyone,Maps & Navigation,"May 28, 2018",1.0.3.8,4.0.3 and up
Glanceable Ap Watch Face,PERSONALIZATION,,0,11M,5+,Paid,$0.99,Everyone,Personalization,"August 14, 2016",1.0.103,4.4 and up
iBP Blood Pressure,MEDICAL,4.4,578,704k,"10,000+",Paid,$0.99,Everyone,Medical,"November 30, 2014",7.0.1,2.2 and up
RT News (Russia Today),NEWS_AND_MAGAZINES,4.6,56524,14M,"1,000,000+",Free,0,Teen,News & Magazines,"August 6, 2018",3.5.13,4.0.3 and up
"JEFIT Workout Tracker, Weight Lifting, Gym Log App",HEALTH_AND_FITNESS,4.5,60096,27M,"5,000,000+",Free,0,Teen,Health & Fitness,"April 7, 2018",10.0,4.0.3 and up
Assemblr - Create 3D Models (Sandbox AR),FAMILY,3.8,1745,Varies with device,"1,000,000+",Free,0,Everyone,Simulation,"July 17, 2018",2.25,5.0 and up
Guns'n'Glory Premium,FAMILY,4.4,3570,21M,"100,000+",Paid,$2.99,Everyone 10+,Strategy,"September 22, 2017",1.8.1,2.3.3 and up
Zap-Map: EV charging points UK,MAPS_AND_NAVIGATION,3.8,181,9.8M,"10,000+",Free,0,Everyone,Maps & Navigation,"July 6, 2018",4.0.4,4.1 and up
Tattoo Name On My Photo Editor,ART_AND_DESIGN,4.2,44829,20M,"10,000,000+",Free,0,Teen,Art & Design,"April 2, 2018",3.8,4.1 and up
MinT BI,PRODUCTIVITY,,0,2.9M,10+,Free,0,Everyone,Productivity,"January 13, 2018",3.1,4.2 and up
Glitch Fixers: Powerpuff Girls,GAME,4.4,39698,51M,"5,000,000+",Free,0,Everyone,Arcade,"December 1, 2016",1.0.0,4.1 and up
Daily Yoga - Yoga Fitness Plans,HEALTH_AND_FITNESS,4.4,70769,35M,"5,000,000+",Free,0,Everyone,Health & Fitness,"July 24, 2018",6.2.73,4.0 and up
Masterchef Cooking Games: Fun Restaurant & Kitchen,FAMILY,3.9,1036,33M,"100,000+",Free,0,Everyone,Casual,"July 6, 2018",2.6,2.3 and up
K-9 Mail,COMMUNICATION,4.2,88427,5.1M,"5,000,000+",Free,0,Everyone,Communication,"January 6, 2018",5.403,4.0.3 and up
BSPlayer ARMv7 VFP CPU support,VIDEO_PLAYERS,4.3,9966,5.5M,"1,000,000+",Free,0,Everyone,Video Players & Editors,"March 31, 2017",1.23,2.1 and up
